Anos_usando_internet_banking,Anos_usando_banca_movil,Frecuencia_internet_banking_mes,Frecuencia_banca_movil_mes,Frecuencia_pagamentos_tarjeta_mes,Frecuencia_tarjeta_virtual_mes,Frecuencia_saldo_cuenta_mes,TARGET
0.0,0.0,1.0,30.0,7.0,0.0,4.0,Perfil_0
0.0,0.0,1.0,50.0,1.0,0.0,4.0,Perfil_0
0.0,0.0,7.0,0.0,1.0,0.0,1.0,Perfil_0
0.0,0.0,7.0,7.0,1.0,0.0,0.0,Perfil_0
0.0,0.0,31.0,7.0,0.0,0.0,31.0,Perfil_0
0.0,0.0,31.0,31.0,31.0,15.0,31.0,Perfil_0
0.0,0.0,31.0,50.0,1.0,31.0,31.0,Perfil_0
0.0,0.0,31.0,50.0,31.0,0.0,31.0,Perfil_0
0.0,0.0,50.0,50.0,0.0,0.0,31.0,Perfil_0
0.0,0.0,50.0,50.0,1.0,15.0,31.0,Perfil_0
0.0,3.0,0.0,1.0,0.0,0.0,31.0,Perfil_0
0.0,3.0,1.0,0.0,1.0,0.0,1.0,Perfil_0
0.0,3.0,1.0,1.0,0.0,31.0,15.0,Perfil_0
0.0,3.0,1.0,7.0,1.0,0.0,0.0,Perfil_0
0.0,3.0,1.0,7.0,1.0,15.0,31.0,Perfil_0
0.0,3.0,1.0,50.0,31.0,15.0,15.0,Perfil_0
0.0,3.0,4.0,30.0,1.0,0.0,0.0,Perfil_0
0.0,3.0,4.0,50.0,1.0,0.0,0.0,Perfil_0
0.0,3.0,7.0,7.0,0.0,15.0,1.0,Perfil_0
0.0,3.0,7.0,7.0,31.0,0.0,0.0,Perfil_0
0.0,3.0,7.0,50.0,31.0,15.0,35.0,Perfil_0
0.0,3.0,31.0,0.0,31.0,15.0,7.0,Perfil_0
0.0,3.0,31.0,7.0,0.0,0.0,15.0,Perfil_0
0.0,3.0,31.0,31.0,15.0,15.0,7.0,Perfil_0
0.0,3.0,31.0,31.0,31.0,0.0,35.0,Perfil_0
0.0,3.0,31.0,50.0,0.0,0.0,15.0,Perfil_0
0.0,3.0,31.0,50.0,1.0,0.0,15.0,Perfil_0
0.0,3.0,31.0,50.0,1.0,0.0,30.0,Perfil_0
0.0,3.0,31.0,50.0,1.0,15.0,31.0,Perfil_0
0.0,3.0,31.0,50.0,1.0,15.0,31.0,Perfil_0
0.0,3.0,31.0,50.0,1.0,15.0,31.0,Perfil_0
0.0,3.0,31.0,50.0,1.0,30.0,31.0,Perfil_0
0.0,3.0,31.0,50.0,31.0,0.0,30.0,Perfil_0
0.0,3.0,31.0,50.0,31.0,4.0,31.0,Perfil_0
0.0,3.0,50.0,4.0,15.0,0.0,0.0,Perfil_0
0.0,3.0,50.0,30.0,31.0,0.0,31.0,Perfil_0
0.0,3.0,50.0,31.0,31.0,0.0,30.0,Perfil_0
0.0,3.0,50.0,31.0,31.0,0.0,30.0,Perfil_0
0.0,3.0,50.0,50.0,0.0,0.0,35.0,Perfil_0
0.0,3.0,50.0,50.0,0.0,15.0,15.0,Perfil_0
0.0,3.0,50.0,50.0,15.0,0.0,15.0,Perfil_0
0.0,3.0,50.0,50.0,31.0,0.0,7.0,Perfil_0
0.0,3.0,50.0,50.0,31.0,0.0,31.0,Perfil_0
0.0,4.0,0.0,7.0,15.0,15.0,31.0,Perfil_0
0.0,4.0,1.0,0.0,1.0,0.0,15.0,Perfil_0
0.0,4.0,7.0,31.0,0.0,0.0,30.0,Perfil_0
0.0,4.0,31.0,50.0,15.0,0.0,31.0,Perfil_0
0.0,4.0,31.0,50.0,15.0,0.0,31.0,Perfil_0
0.0,4.0,31.0,50.0,30.0,15.0,1.0,Perfil_0
0.0,4.0,31.0,50.0,31.0,0.0,31.0,Perfil_0
0.0,4.0,50.0,4.0,31.0,0.0,4.0,Perfil_0
0.0,5.0,7.0,31.0,1.0,15.0,31.0,Perfil_0
0.0,6.0,0.0,0.0,15.0,15.0,0.0,Perfil_0
0.0,6.0,1.0,0.0,15.0,0.0,7.0,Perfil_0
0.0,6.0,1.0,7.0,7.0,15.0,31.0,Perfil_0
0.0,6.0,7.0,31.0,1.0,0.0,0.0,Perfil_0
0.0,6.0,31.0,31.0,1.0,1.0,35.0,Perfil_0
0.0,6.0,31.0,50.0,1.0,0.0,15.0,Perfil_0
0.0,6.0,31.0,50.0,15.0,0.0,31.0,Perfil_0
0.0,6.0,31.0,50.0,31.0,0.0,31.0,Perfil_0
0.0,6.0,50.0,31.0,1.0,15.0,31.0,Perfil_0
0.0,6.0,50.0,50.0,0.0,15.0,31.0,Perfil_0
0.0,6.0,50.0,50.0,1.0,1.0,31.0,Perfil_0
0.0,6.0,50.0,50.0,1.0,15.0,35.0,Perfil_0
0.0,6.0,50.0,50.0,15.0,0.0,15.0,Perfil_0
0.0,6.0,50.0,50.0,15.0,15.0,31.0,Perfil_0
0.0,6.0,50.0,50.0,31.0,0.0,0.0,Perfil_0
